{how-to-get-user-id},"<a href='http://jelled.com/instagram/lookup-user-id' target='_blank'>How to get?</a>"
API Client ID,API Client ID
By Hashtag,By Hashtag
By Product Hashtag,By Product Hashtag
By User ID,By User ID
Cache Lifetime,Cache Lifetime
Description,Description
General,General
Hashtag,Hashtag
In seconds,In seconds
Limit,Limit
Mode,Mode
Neklo Instagram Template,Neklo Instagram Template
Template,Template
Thumbnail Height,Thumbnail Height
Thumbnail Width,Thumbnail Width
Title,Title
User ID,User ID
